"HTS Number","Indent","Description","Unit of Quantity","General Rate of Duty","Special Rate of Duty","Column 2 Rate of Duty","Quota Quantity","Additional Duties"
"0106.31.00.00","2","Birds of prey","[""No.""]","1.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0106.32.00.00","2","Psittaciformes (including parrots, parakeets, macaws and cockatoos)","[""No.""]","1.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0106.33.00.00","2","Ostriches; emus (Dromaius novaehollandiae)","[""No.""]","1.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0106.39.01.00","2","Other","[""No.""]","1.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","1","Insects:","","","","",,
"0106.41.00.00","2","Bees","[""kg""]","Free","","15%","",""
"0106.49.00","2","Other","","Free","","15%","",""
"0106.49.00.10","3","Leaf cutter bee larvae","[""kg""]","","","","",""
"0106.49.00.90","3","Other","[""kg""]","","","","",""
"0106.90.01","1","Other","","Free","","15%","",""
"0106.90.01.10","2","Worms","[""kg""]","","","","",""
"0106.90.01.20","2","Bait (other than worms)","[""kg""]","","","","",""
"0106.90.01.80","2","Other","[""kg""]","","","","",""
"0201","0","Meat of bovine animals, fresh or chilled:","","","","","",""
"0201.10","1","Carcasses and half-carcasses:","","","","","",""
"0201.10.05","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","13.2¢/kg","",""
"0201.10.05.10","3","Veal","[""kg""]","","","","",""
"0201.10.05.90","3","Other","[""kg""]","","","","",""
"0201.10.10","2","Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"0201.10.10.10","3","Veal","[""kg""]","","","","",""
"0201.10.10.90","3","Other","[""kg""]","","","","",""
"0201.10.50","2","Other ","","26.4%","Free (BH,CL,JO,MA,OM,P,S,SG) 3.5% (PE) 8.8% (KR) See 9913.02.05-9913.02.30 (AU) See 9915.02.05-9915.02.10 (P+) See 9918.02.01-9918.02.03 (CO) See 9919.02.01-9919.02.02 (PA)","31.1%","",""
"0201.10.50.10","3","Veal","[""kg""]","","","","",""
"0201.10.50.90","3","Other","[""kg""]","","","","",""
"0201.20","1","Other cuts with bone in:","","","","","",""
"","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0201.20.02.00","4","High-quality beef cuts","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"0201.20.04.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0201.20.06.00","3","Other","[""kg""]","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","13.2¢/kg","",""
"","2","Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0201.20.10.00","4","High-quality beef cuts","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0201.20.30.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0201.20.50","3","Other","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"0201.20.50.15","4","Fresh or chilled bone in veal cuts","[""kg""]","","","","",""
"","4","Other:","","","","",,
"0201.20.50.25","5","Rib cuts","[""kg""]","","","","",""
"0201.20.50.35","5","Chuck cuts","[""kg""]","","","","",""
"0201.20.50.45","5","Loin cuts","[""kg""]","","","","",""
"0201.20.50.55","5","Brisket cuts","[""kg""]","","","","",""
"0201.20.50.65","5","Hip cuts","[""kg""]","","","","",""
"0201.20.50.75","5","Flank or plate cuts","[""kg""]","","","","",""
"0201.20.50.85","5","Other","[""kg""]","","","","",""
"0201.20.80","2","Other ","","26.4%","Free (BH,CL,JO,MA,OM,P,S,SG) 3.5% (PE) 8.8% (KR) See 9913.02.05-9913.02.30 (AU) See 9915.02.05-9915.02.10 (P+) See 9918.02.01-9918.02.03 (CO) See 9919.02.01-9919.02.02 (PA)","31.1%","",""
"0201.20.80.10","3","Bison","[""kg""]","","","","",""
"0201.20.80.90","3","Other","[""kg""]","","","","",""
"0201.30","1","Boneless:","","","","","",""
"","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0201.30.02.00","4","High-quality beef cuts","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM, P,PA, PE,S,SG)","20%","",""
"0201.30.04.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0201.30.06.00","3","Other","[""kg""]","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","13.2¢/kg","",""
"","2","Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0201.30.10.00","4","High-quality beef cuts","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0201.30.30.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0201.30.50","3","Other","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"0201.30.50.15","4","Fresh or chilled boneless veal cuts","[""kg""]","","","","",""
"","4","Other:","","","","",,
"0201.30.50.25","5","Rib cuts","[""kg""]","","","","",""
"0201.30.50.35","5","Chuck cuts","[""kg""]","","","","",""
"0201.30.50.45","5","Loin cuts","[""kg""]","","","","",""
"0201.30.50.55","5","Brisket cuts","[""kg""]","","","","",""
"0201.30.50.65","5","Hip cuts","[""kg""]","","","","",""
"0201.30.50.75","5","Flank or plate cuts","[""kg""]","","","","",""
"0201.30.50.85","5","Other","[""kg""]","","","","",""
"0201.30.80","2","Other ","","26.4%","Free (BH,CL,JO,MA,OM,P,S,SG) 3.5% (PE) 8.8% (KR) See 9913.02.05-9913.02.30 (AU) See 9915.02.05-9915.02.10 (P+) See 9918.02.01-9918.02.03 (CO) See 9919.02.01-9919.02.02 (PA)","31.1%","",""
"0201.30.80.10","3","Bison","[""kg""]","","","","",""
"0201.30.80.90","3","Other","[""kg""]","","","","",""
"0202","0","Meat of bovine animals, frozen:","","","","","",""
"0202.10","1","Carcasses and half-carcasses:","","","","","",""
"0202.10.05","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","13.2¢/kg","",""
"0202.10.05.10","3","Veal","[""kg""]","","","","",""
"0202.10.05.90","3","Other","[""kg""]","","","","",""
"0202.10.10","2","Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"0202.10.10.10","3","Veal","[""kg""]","","","","",""
"0202.10.10.90","3","Other","[""kg""]","","","","",""
"0202.10.50","2","Other ","","26.4%","Free (BH,CL,JO,MA,OM,P,S,SG) 3.5% (PE) 8.8% (KR) See 9913.02.05-9913.02.30 (AU) See 9915.02.05-9915.02.10 (P+) See 9918.02.01-9918.02.03 (CO) See 9919.02.01-9919.02.02 (PA)","31.1%","",""
"0202.10.50.10","3","Veal","[""kg""]","","","","",""
"0202.10.50.90","3","Other","[""kg""]","","","","",""
"0202.20","1","Other cuts with bone in:","","","","","",""
"","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0202.20.02.00","4","High-quality beef cuts","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"0202.20.04.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0202.20.06.00","3","Other","[""kg""]","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","13.2¢/kg","",""
"","2","Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0202.20.10.00","4","High-quality beef cuts","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0202.20.30.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0202.20.50","3","Other","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"0202.20.50.25","4","Rib cuts","[""kg""]","","","","",""
"0202.20.50.35","4","Chuck cuts","[""kg""]","","","","",""
"0202.20.50.45","4","Loin cuts","[""kg""]","","","","",""
"0202.20.50.55","4","Brisket cuts","[""kg""]","","","","",""
"0202.20.50.65","4","Hip cuts","[""kg""]","","","","",""
"0202.20.50.75","4","Flank or plate cuts","[""kg""]","","","","",""
"0202.20.50.85","4","Other","[""kg""]","","","","",""
"0202.20.80.00","2","Other ","[""kg""]","26.4%","Free (BH,CL,JO,MA,OM,P,S,SG) 3.5% (PE) 8.8% (KR) See 9913.02.05-9913.02.30 (AU) See 9915.02.05-9915.02.10 (P+) See 9918.02.01-9918.02.03 (CO) See 9919.02.01-9919.02.02 (PA)","31.1%","",""
"0202.30","1","Boneless:","","","","","",""
"","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0202.30.02.00","4","High-quality beef cuts","[""kg""]","4%","Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0202.30.04.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0202.30.06.00","3","Other","[""kg""]","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","13.2¢/kg","",""
"","2","Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:","","","","",,
"","3","Processed:","","","","",,
"0202.30.10.00","4","High-quality beef cuts","[""kg""]","4%","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0202.30.30.00","4","Other","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0202.30.50","3","Other","","4.4¢/kg","Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"0202.30.50.15","4","Frozen boneless veal cuts","[""kg""]","","","","",""
"","4","Other:","","","","",,
"0202.30.50.25","5","Rib cuts","[""kg""]","","","","",""
"0202.30.50.35","5","Chuck cuts","[""kg""]","","","","",""
"0202.30.50.45","5","Loin cuts","[""kg""]","","","","",""
"0202.30.50.55","5","Brisket cuts","[""kg""]","","","","",""
"0202.30.50.65","5","Hip cuts","[""kg""]","","","","",""
"0202.30.50.75","5","Flank or plate cuts","[""kg""]","","","","",""
"0202.30.50.85","5","Other","[""kg""]","","","","",""
"0202.30.80.00","2","Other ","[""kg""]","26.4%","Free (BH,CL,JO,MA,OM,P,S,SG) 3.5% (PE) 8.8% (KR) See 9913.02.05-9913.02.30 (AU) See 9915.02.05-9915.02.10 (P+) See 9918.02.01-9918.02.03 (CO) See 9919.02.01-9919.02.02 (PA)","31.1%","",""
"0203","0","Meat of swine, fresh, chilled, or frozen:","","","","","",""
"","1","Fresh or chilled:","","","","",,
"0203.11.00.00","2","Carcasses and half-carcasses","[""kg""]","Free","","5.5¢/kg","",""
"0203.12","2","Hams, shoulders and cuts thereof, with bone in:","","","","","",""
"0203.12.10","3","Processed","","1.4¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","7.2¢/kg","",""
"0203.12.10.10","4","Hams and cuts thereof","[""kg""]","","","","",""
"0203.12.10.20","4","Shoulders and cuts thereof","[""kg""]","","","","",""
"0203.12.90","3","Other","","Free","","5.5¢/kg","",""
"0203.12.90.10","4","Hams and cuts thereof","[""kg""]","","","","",""
"0203.12.90.20","4","Shoulders and cuts thereof","[""kg""]","","","","",""
"0203.19","2","Other:","","","","","",""
"0203.19.20","3","Processed","","1.4¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","7.2¢/kg","",""
"0203.19.20.10","4","Spare ribs","[""kg""]","","","","",""
"0203.19.20.90","4","Other","[""kg""]","","","","",""
"0203.19.40","3","Other","","Free","","5.5¢/kg","",""
"0203.19.40.10","4","Bellies","[""kg""]","","","","",""
"0203.19.40.90","4","Other","[""kg""]","","","","",""
"","1","Frozen:","","","","",,
"0203.21.00.00","2","Carcasses and half-carcasses","[""kg""]","Free","","5.5¢/kg","",""
"0203.22","2","Hams, shoulders and cuts thereof, with bone in:","","","","","",""
"0203.22.10.00","3","Processed","[""kg""]","1.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.2¢/kg","",""
"0203.22.90.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0203.29","2","Other:","","","","","",""
"0203.29.20.00","3","Processed","[""kg""]","1.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.2¢/kg","",""
"0203.29.40.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0204","0","Meat of sheep or goats, fresh, chilled or frozen:","","","","","",""
"0204.10.00.00","1","Carcasses and half-carcasses of lamb, fresh or chilled","[""kg""]","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"","1","Other meat of sheep, fresh or chilled:","","","","",,
"0204.21.00.00","2","Carcasses and half-carcasses ","[""kg""]","2.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0204.22","2","Other cuts with bone in:","","","","","",""
"0204.22.20","3","Lamb","","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"0204.22.20.10","4","Shoulders","[""kg""]","","","","",""
"0204.22.20.20","4","Legs","[""kg""]","","","","",""
"0204.22.20.30","4","Loins","[""kg""]","","","","",""
"0204.22.20.90","4","Other","[""kg""]","","","","",""
"0204.22.40.00","3","Other ","[""kg""]","2.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0204.23","2","Boneless:","","","","","",""
"0204.23.20.00","3","Lamb","[""kg""]","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"0204.23.40.00","3","Other ","[""kg""]","2.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0204.30.00.00","1","Carcasses and half-carcasses of lamb, frozen","[""kg""]","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"","1","Other meat of sheep, frozen:","","","","",,
"0204.41.00.00","2","Carcasses and half-carcasses ","[""kg""]","2.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0204.42","2","Other cuts with bone in:","","","","","",""
"0204.42.20","3","Lamb","","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"0204.42.20.10","4","Shoulders","[""kg""]","","","","",""
"0204.42.20.20","4","Legs","[""kg""]","","","","",""
"0204.42.20.30","4","Loins","[""kg""]","","","","",""
"0204.42.20.90","4","Other","[""kg""]","","","","",""
"0204.42.40.00","3","Other ","[""kg""]","2.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0204.43","2","Boneless:","","","","","",""
"0204.43.20.00","3","Lamb","[""kg""]","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"0204.43.40.00","3","Other ","[""kg""]","2.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0204.50.00.00","1","Meat of goats","[""kg""]","Free","","11¢/kg","",""
"0205.00.00.00","0","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","[""kg""]","Free","","Free","",""
"0206","0","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen:","","","","","",""
"0206.10.00.00","1","Of bovine animals, fresh or chilled","[""kg""]","Free","","30%","",""
"","1","Of bovine animals, frozen:","","","","",,
"0206.21.00.00","2","Tongues","[""kg""]","Free","","30%","",""
"0206.22.00.00","2","Livers","[""kg""]","Free","","30%","",""
"0206.29.00.00","2","Other","[""kg""]","Free","","30%","",""
"0206.30.00.00","1","Of swine, fresh or chilled","[""kg""]","Free","","30%","",""
"","1","Of swine, frozen:","","","","",,
"0206.41.00.00","2","Livers","[""kg""]","Free","","30%","",""
"0206.49.00.00","2","Other","[""kg""]","Free","","30%","",""
"0206.80.00.00","1","Other, fresh or chilled","[""kg""]","Free","","30%","",""
"0206.90.00","1","Other, frozen","","Free","","30%","",""
"0206.90.00.20","2","Of sheep (including lamb)","[""kg""]","","","","",""
"0206.90.00.40","2","Of goats, horses, asses, mules or hinnies","[""kg""]","","","","",""
